restaurant_id,name,url,address,location_neighborhood,latitude,longitude,phone,rate,votes,approx_cost_for_two,rest_type,cuisines,online_order,book_table,dish_liked,listed_in_type,listed_in_city
R0012,Parmer LLC Kitchen,https://www.zomato.com/bengaluru/restaurant-12,"191, Malleshwaram, Bengaluru",Malleshwaram,12.99665,77.565846,+918244935348,4.3,8054,400,Dhaba,"Desserts, Sandwich, North Indian",Yes,Yes,"Idli, Pizza, Paneer Tikka, Butter Chicken",Lunch,Malleshwaram
R0013,Lalla Bassi and Sharaf ,https://www.zomato.com/bengaluru/restaurant-13,"39, Bellandur, Bengaluru",Bellandur,12.912023,77.670407,+918059826204,4.9,6024,150,Cafe,Cafe,Yes,No,"Veg Thali, Chicken Curry, Biryani",Desserts,Bellandur
R0014,Dash Radhakrishnan and Brar Restaurant,https://www.zomato.com/bengaluru/restaurant-14,"189, KR Puram, Bengaluru",KR Puram,12.993084,77.702903,+915634216073,4.7,3319,800,Cafe,"Continental, Pizza",Yes,Yes,"Burger, Chicken Curry, Biryani",Desserts,KR Puram
R0015,Memon Pathak and Handa Restaurant,https://www.zomato.com/bengaluru/restaurant-15,"149, Koramangala, Bengaluru",Koramangala,12.940001,77.621454,+914019655698,5.0,1944,600,Takeaway,"Chinese, Cafe",Yes,No,"Tandoori, Ice Cream, Shake, Biryani",Buffet,Koramangala
R0016,Boase Bath and Kari ,https://www.zomato.com/bengaluru/restaurant-16,"32, Bommanahalli, Bengaluru",Bommanahalli,12.894582,77.619498,+914846564823,4.9,6938,600,Fine Dining,"Biryani, Thai, Bakery",Yes,No,"Shake, Pasta",Cafes,Bommanahalli
R0017,Buch-Kaul ,https://www.zomato.com/bengaluru/restaurant-17,"44, Basavanagudi, Bengaluru",Basavanagudi,12.944038,77.559812,+911489513433,4.0,2464,150,Quick Bites,"Biryani, Bakery",Yes,No,"Veg Thali, Pasta, Tandoori, Shake",Delivery,Basavanagudi
R0018,Rai LLC Kitchen,https://www.zomato.com/bengaluru/restaurant-18,"193, Hebbal, Bengaluru",Hebbal,13.033233,77.600893,+911632870831,4.5,7528,250,Dhaba,Mughlai,No,No,"Ice Cream, Fried Rice, Pizza, Shake, Cake",Drinks,Hebbal
R0019,Patla-Gaba Cafe,https://www.zomato.com/bengaluru/restaurant-19,"197, Nagarbhavi, Bengaluru",Nagarbhavi,12.983043,77.50838,+918734714345,3.8,5288,1000,Quick Bites,"Sandwich, Bakery, Street Food",Yes,Yes,"Masala Dosa, Veg Thali, Paneer Tikka",Desserts,Nagarbhavi
R0020,Pant-Kadakia Eatery,https://www.zomato.com/bengaluru/restaurant-20,"100, Basavanagudi, Bengaluru",Basavanagudi,12.948418,77.580993,+919096705466,2.7,8868,1000,Dhaba,Bakery,Yes,No,"Shake, Veg Thali, Chicken Curry, Biryani, Idli",Desserts,Basavanagudi
R0021,Loke Bora and Garg Eatery,https://www.zomato.com/bengaluru/restaurant-21,"35, Bellandur, Bengaluru",Bellandur,12.923775,77.661271,+917204653755,3.7,6261,400,Dhaba,"Mughlai, Fast Food",No,No,"Pizza, Biryani, Ice Cream, Momos, Veg Thali",Delivery,Bellandur
R0022,Konda Gade and Shere Restaurant,https://www.zomato.com/bengaluru/restaurant-22,"6, Banashankari, Bengaluru",Banashankari,12.911181,77.547983,+919232719374,3.6,6093,250,Takeaway,"Pizza, Chinese",Yes,Yes,"Biryani, Fried Rice",Cafes,Banashankari
R0023,Madan-Kanda ,https://www.zomato.com/bengaluru/restaurant-23,"154, Whitefield, Bengaluru",Whitefield,12.972161,77.762767,+911905865185,3.6,257,600,Dhaba,"Mughlai, Rolls, Biryani",No,Yes,"Fried Rice, Idli",Lunch,Whitefield
R0024,Nair Bhalla and Karnik ,https://www.zomato.com/bengaluru/restaurant-24,"152, Malleshwaram, Bengaluru",Malleshwaram,13.007168,77.577561,+914531473799,3.3,10997,600,Cafe,"Continental, Bakery, Fast Food",Yes,No,"Pasta, Masala Dosa, Veg Thali, Noodles",Drinks,Malleshwaram
R0025,Mutti Group Bistro,https://www.zomato.com/bengaluru/restaurant-25,"195, JP Nagar, Bengaluru",JP Nagar,12.907426,77.578845,+913777014363,3.8,5066,1200,Cafe,"Seafood, Cafe",No,No,"Pasta, Biryani, Noodles, Butter Chicken",Drinks,JP Nagar
R0026,Bhatti-Kakar Restaurant,https://www.zomato.com/bengaluru/restaurant-26,"81, Yelahanka, Bengaluru",Yelahanka,13.115399,77.597812,+911823374989,4.4,4686,200,Dhaba,"Street Food, Cafe",Yes,No,"Paneer Tikka, Fried Rice, Idli, Cake",Desserts,Yelahanka
R0027,Murty Kala and Tata Eatery,https://www.zomato.com/bengaluru/restaurant-27,"27, Malleshwaram, Bengaluru",Malleshwaram,12.993483,77.553124,+910947775204,3.7,7877,200,Dhaba,"Continental, Cafe, South Indian",Yes,No,"Pasta, Momos",Dinner,Malleshwaram
R0028,Shanker-Dhar Eatery,https://www.zomato.com/bengaluru/restaurant-28,"156, HSR Layout, Bengaluru",HSR Layout,12.913911,77.644494,+919938677496,3.5,5053,1200,Takeaway,Continental,Yes,No,"Dosa, Fried Rice, Idli, Paneer Tikka",Delivery,HSR Layout
R0029,Dewan-Koshy Bistro,https://www.zomato.com/bengaluru/restaurant-29,"121, Nagarbhavi, Bengaluru",Nagarbhavi,12.962534,77.496331,+914034471349,4.5,10882,300,Delivery,"Chinese, Fast Food, Pizza",Yes,No,"Pasta, Dosa, Burger",Desserts,Nagarbhavi
R0030,Yohannan Lall and Sangha Bistro,https://www.zomato.com/bengaluru/restaurant-30,"192, Brookefield, Bengaluru",Brookefield,12.94757,77.705869,+919471746488,3.8,8140,800,Quick Bites,Chinese,Yes,No,"Burger, Momos",Drinks,Brookefield
R0031,Rastogi Pathak and Kanda Bistro,https://www.zomato.com/bengaluru/restaurant-31,"112, MG Road, Bengaluru",MG Road,12.968111,77.60744,+917175655125,4.1,6794,800,Cafe,"North Indian, Cafe, South Indian",No,No,"Masala Dosa, Tandoori, Veg Thali",Buffet,MG Road
R0032,Upadhyay Group Eatery,https://www.zomato.com/bengaluru/restaurant-32,"14, Hebbal, Bengaluru",Hebbal,13.023442,77.589572,+913859770348,3.6,2196,400,Delivery,Mughlai,No,Yes,"Pasta, Veg Thali",Buffet,Hebbal
R0033,Batta Inc Kitchen,https://www.zomato.com/bengaluru/restaurant-33,"119, Brookefield, Bengaluru",Brookefield,12.961366,77.705079,+911274846773,5.0,7533,1000,Casual Dining,Desserts,No,Yes,"Pasta, Chicken Curry",Dine-out,Brookefield
R0034,Dutta Ltd Bistro,https://www.zomato.com/bengaluru/restaurant-34,"149, HSR Layout, Bengaluru",HSR Layout,12.904887,77.6476,+917278755886,4.8,7510,500,Dhaba,"Seafood, Sandwich",Yes,No,"Biryani, Momos, Tandoori, Chicken Curry",Desserts,HSR Layout
R0035,Bhatt-Rajan Cafe,https://www.zomato.com/bengaluru/restaurant-35,"26, Shivajinagar, Bengaluru",Shivajinagar,12.983289,77.61168,+917187026217,4.9,4392,500,Takeaway,"South Indian, Seafood",No,No,"Ice Cream, Pasta, Pizza, Fried Rice, Biryani",Delivery,Shivajinagar
R0036,Sidhu-Wadhwa ,https://www.zomato.com/bengaluru/restaurant-36,"176, Rajajinagar, Bengaluru",Rajajinagar,13.00077,77.56678,+914316117240,4.9,803,500,Dhaba,"Seafood, Burger",Yes,No,"Dosa, Fried Rice",Drinks,Rajajinagar
R0037,Apte-Contractor Restaurant,https://www.zomato.com/bengaluru/restaurant-37,"119, Malleshwaram, Bengaluru",Malleshwaram,13.001021,77.560026,+914740748217,3.0,5711,1200,Cafe,"Fast Food, Rolls",No,No,"Dosa, Ice Cream, Fried Rice",Cafes,Malleshwaram
R0038,Yadav Loke and Oak ,https://www.zomato.com/bengaluru/restaurant-38,"76, Hebbal, Bengaluru",Hebbal,13.046159,77.587977,+910640909743,3.8,9996,500,Casual Dining,"Burger, Italian",Yes,No,"Ice Cream, Cake, Momos",Cafes,Hebbal
R0039,Memon Group Cafe,https://www.zomato.com/bengaluru/restaurant-39,"192, KR Puram, Bengaluru",KR Puram,13.012667,77.702524,+916232858842,4.7,4260,800,Dhaba,"Continental, Italian, South Indian",Yes,No,"Veg Thali, Butter Chicken, Cake, Masala Dosa",Drinks,KR Puram
R0040,Setty Inc Bistro,https://www.zomato.com/bengaluru/restaurant-40,"32, Whitefield, Bengaluru",Whitefield,12.96885,77.737159,+917549651370,4.8,10200,1000,Cafe,Mughlai,Yes,No,"Dosa, Ice Cream, Biryani, Pizza",Delivery,Whitefield
R0041,Lall Tella and Gokhale Restaurant,https://www.zomato.com/bengaluru/restaurant-41,"138, Brookefield, Bengaluru",Brookefield,12.967816,77.725182,+912675869261,4.1,8067,1200,Delivery,"Bakery, Italian",Yes,Yes,"Butter Chicken, Pasta, Momos",Drinks,Brookefield
R0042,Cherian Misra and Tripathi Kitchen,https://www.zomato.com/bengaluru/restaurant-42,"117, BTM Layout, Bengaluru",BTM Layout,12.914901,77.623617,+911390053293,3.8,1174,1000,Casual Dining,"Italian, Thai",Yes,Yes,"Butter Chicken, Ice Cream, Paneer Tikka, Idli",Drinks,BTM Layout
R0043,Issac Dua and Prakash Restaurant,https://www.zomato.com/bengaluru/restaurant-43,"4, Nagarbhavi, Bengaluru",Nagarbhavi,12.960727,77.517016,+915395024026,4.7,8669,200,Fine Dining,Cafe,Yes,No,"Pizza, Paneer Tikka, Burger",Dinner,Nagarbhavi
R0044,Zacharia PLC Eatery,https://www.zomato.com/bengaluru/restaurant-44,"165, Nagarbhavi, Bengaluru",Nagarbhavi,12.967161,77.50781,+910076617711,4.6,5327,1200,Casual Dining,"Sandwich, Pizza",Yes,Yes,"Tandoori, Momos",Cafes,Nagarbhavi
R0045,Naik Group ,https://www.zomato.com/bengaluru/restaurant-45,"167, MG Road, Bengaluru",MG Road,12.979592,77.621151,+918367365766,3.9,1607,500,Delivery,"Mughlai, Sandwich",Yes,No,"Veg Thali, Tandoori, Chicken Curry, Butter Chicken",Cafes,MG Road
R0046,Choudhury LLC Kitchen,https://www.zomato.com/bengaluru/restaurant-46,"191, Malleshwaram, Bengaluru",Malleshwaram,13.016708,77.573305,+915280988516,3.5,5843,600,Dhaba,"Chinese, Rolls",Yes,No,"Dosa, Chicken Curry",Cafes,Malleshwaram
R0047,Khatri-Bhardwaj Restaurant,https://www.zomato.com/bengaluru/restaurant-47,"110, Malleshwaram, Bengaluru",Malleshwaram,12.991208,77.567922,+918998094024,4.2,11563,400,Cafe,Burger,Yes,Yes,"Idli, Cake, Tandoori",Dine-out,Malleshwaram
R0048,Brar Inc Eatery,https://www.zomato.com/bengaluru/restaurant-48,"108, Jayanagar, Bengaluru",Jayanagar,12.93279,77.580824,+917525459910,4.1,2599,250,Dhaba,North Indian,Yes,No,"Tandoori, Noodles",Delivery,Jayanagar
R0049,Sunder Biswas and Walia ,https://www.zomato.com/bengaluru/restaurant-49,"152, Bellandur, Bengaluru",Bellandur,12.923993,77.67312,+917840369003,3.4,4988,300,Dhaba,"Street Food, Bakery, Cafe",Yes,No,"Tandoori, Idli, Cake",Cafes,Bellandur
R0050,Dave Ltd ,https://www.zomato.com/bengaluru/restaurant-50,"11, Rajajinagar, Bengaluru",Rajajinagar,12.9788,77.555922,+916071596966,4.0,4793,200,Delivery,"Fast Food, Continental",Yes,No,"Pasta, Fried Rice, Cake, Butter Chicken, Noodles",Dine-out,Rajajinagar
R0051,Gandhi-Lanka Eatery,https://www.zomato.com/bengaluru/restaurant-51,"80, MG Road, Bengaluru",MG Road,12.974403,77.625388,+915352181883,3.2,5774,500,Fine Dining,"Chinese, Bakery",Yes,Yes,"Fried Rice, Chicken Curry",Delivery,MG Road
R0052,Sampath Kakar and Zacharia ,https://www.zomato.com/bengaluru/restaurant-52,"145, Jayanagar, Bengaluru",Jayanagar,12.923479,77.574005,+919552717744,3.4,9739,150,Cafe,Chinese,Yes,No,"Masala Dosa, Veg Thali, Tandoori",Dinner,Jayanagar
R0053,Iyer Muni and Rastogi Bistro,https://www.zomato.com/bengaluru/restaurant-53,"122, Hebbal, Bengaluru",Hebbal,13.021928,77.593062,+918207151820,3.5,4109,800,Delivery,"Chinese, Rolls",Yes,No,"Veg Thali, Butter Chicken, Pasta, Masala Dosa, Ice Cream",Drinks,Hebbal
R0054,Prakash Sarma and Varughese ,https://www.zomato.com/bengaluru/restaurant-54,"169, Electronic City, Bengaluru",Electronic City,12.836522,77.685234,+919251925462,3.6,9799,200,Cafe,"South Indian, Seafood, Chinese",No,No,"Idli, Ice Cream, Momos, Pizza",Drinks,Electronic City
R0055,Dara-Kota Eatery,https://www.zomato.com/bengaluru/restaurant-55,"50, Jayanagar, Bengaluru",Jayanagar,12.935903,77.593669,+913221418880,4.3,10895,500,Dhaba,"Sandwich, Chinese, Bakery",Yes,No,"Biryani, Cake, Momos, Dosa",Lunch,Jayanagar
R0056,Bhatt LLC ,https://www.zomato.com/bengaluru/restaurant-56,"115, Jayanagar, Bengaluru",Jayanagar,12.920667,77.59374,+913834735977,3.6,4666,600,Takeaway,"Fast Food, Street Food, South Indian",No,Yes,"Cake, Fried Rice, Veg Thali, Momos, Pizza",Desserts,Jayanagar
R0057,Karpe PLC Bistro,https://www.zomato.com/bengaluru/restaurant-57,"38, MG Road, Bengaluru",MG Road,12.964752,77.6122,+916137506068,3.8,6176,300,Delivery,"Burger, Thai, Italian",Yes,No,"Momos, Dosa",Desserts,MG Road
R0058,Amble Inc ,https://www.zomato.com/bengaluru/restaurant-58,"36, Koramangala, Bengaluru",Koramangala,12.929761,77.612472,+917790104328,3.3,11965,1200,Takeaway,"Seafood, Continental, Sandwich",No,Yes,"Momos, Masala Dosa",Cafes,Koramangala
R0059,Bhargava Karnik and Bir ,https://www.zomato.com/bengaluru/restaurant-59,"37, Marathahalli, Bengaluru",Marathahalli,12.953135,77.683832,+914609539621,3.3,8626,500,Quick Bites,"Street Food, Chinese",Yes,No,"Masala Dosa, Biryani",Dinner,Marathahalli
R0060,Narayanan Inc ,https://www.zomato.com/bengaluru/restaurant-60,"169, Indiranagar, Bengaluru",Indiranagar,12.98247,77.655231,+911952058527,3.2,11443,800,Fine Dining,"North Indian, Thai",Yes,Yes,"Cake, Fried Rice",Delivery,Indiranagar
R0061,Khanna Mallick and Sunder Bistro,https://www.zomato.com/bengaluru/restaurant-61,"122, Bommanahalli, Bengaluru",Bommanahalli,12.904786,77.61763,+914034505415,2.0,7209,600,Fine Dining,"Biryani, South Indian",No,No,"Butter Chicken, Shake, Momos",Drinks,Bommanahalli
R0062,Zacharia and Sons Bistro,https://www.zomato.com/bengaluru/restaurant-62,"76, JP Nagar, Bengaluru",JP Nagar,12.907686,77.583126,+915115447962,3.6,11351,800,Cafe,"Cafe, Chinese, Bakery",No,Yes,"Chicken Curry, Burger",Drinks,JP Nagar
R0063,Solanki Kibe and Solanki Eatery,https://www.zomato.com/bengaluru/restaurant-63,"9, MG Road, Bengaluru",MG Road,12.990545,77.612937,+912135569092,4.3,11175,800,Cafe,Chinese,Yes,No,"Cake, Tandoori, Burger, Biryani, Dosa",Delivery,MG Road
R0064,Gupta-Chandra Eatery,https://www.zomato.com/bengaluru/restaurant-64,"133, Shivajinagar, Bengaluru",Shivajinagar,12.975931,77.597008,+916814473947,3.1,3329,200,Casual Dining,"Cafe, Pizza",Yes,No,"Biryani, Burger",Dine-out,Shivajinagar
R0065,Sankar LLC Restaurant,https://www.zomato.com/bengaluru/restaurant-65,"36, Bommanahalli, Bengaluru",Bommanahalli,12.894853,77.606534,+913705895782,3.5,10076,200,Quick Bites,"Seafood, Thai, Chinese",Yes,No,"Momos, Burger, Tandoori, Ice Cream",Dinner,Bommanahalli
R0066,Roy-Sibal ,https://www.zomato.com/bengaluru/restaurant-66,"133, Sarjapur, Bengaluru",Sarjapur,12.858724,77.683883,+915289226801,4.1,8538,250,Cafe,"Chinese, Continental, Seafood",Yes,Yes,"Veg Thali, Pasta",Drinks,Sarjapur
R0067,Bhagat Chaudhari and Bhat Kitchen,https://www.zomato.com/bengaluru/restaurant-67,"129, Bommanahalli, Bengaluru",Bommanahalli,12.888264,77.632324,+912992299590,3.2,514,200,Quick Bites,"Desserts, Chinese, Cafe",Yes,No,"Pasta, Paneer Tikka, Pizza",Desserts,Bommanahalli
R0068,Nori-Chopra ,https://www.zomato.com/bengaluru/restaurant-68,"104, Nagarbhavi, Bengaluru",Nagarbhavi,12.973464,77.508543,+914710276773,3.2,5623,1200,Casual Dining,Burger,Yes,No,"Momos, Masala Dosa, Fried Rice, Ice Cream",Drinks,Nagarbhavi
R0069,Handa and Sons Restaurant,https://www.zomato.com/bengaluru/restaurant-69,"37, Bannerghatta Road, Bengaluru",Bannerghatta Road,12.886041,77.590961,+911046963259,3.3,11864,500,Casual Dining,"Continental, Thai",Yes,No,"Shake, Fried Rice",Dinner,Bannerghatta Road
R0070,Sen Dey and Sami Cafe,https://www.zomato.com/bengaluru/restaurant-70,"127, Banashankari, Bengaluru",Banashankari,12.936972,77.546721,+919748016245,3.9,6656,500,Quick Bites,Mughlai,No,Yes,"Fried Rice, Noodles, Cake, Biryani, Veg Thali",Desserts,Banashankari
R0071,Mallick Group Cafe,https://www.zomato.com/bengaluru/restaurant-71,"194, Malleshwaram, Bengaluru",Malleshwaram,13.004697,77.554906,+912398680002,4.0,11741,500,Dhaba,"Street Food, Cafe, Italian",No,No,"Idli, Ice Cream, Cake",Dinner,Malleshwaram
R0072,Borra Group Cafe,https://www.zomato.com/bengaluru/restaurant-72,"122, Jayanagar, Bengaluru",Jayanagar,12.933988,77.584265,+910551694097,3.3,4400,1200,Takeaway,"Seafood, Fast Food",Yes,No,"Momos, Shake, Masala Dosa, Cake, Pasta",Buffet,Jayanagar
R0073,Chaudhari Bedi and Zachariah Restaurant,https://www.zomato.com/bengaluru/restaurant-73,"106, Shivajinagar, Bengaluru",Shivajinagar,12.986213,77.601727,+913689702838,4.3,5375,800,Takeaway,"Mughlai, Continental, Pizza",No,No,"Idli, Noodles",Dine-out,Shivajinagar
R0074,Chander and Sons Restaurant,https://www.zomato.com/bengaluru/restaurant-74,"77, Hebbal, Bengaluru",Hebbal,13.048164,77.59227,+914375758441,3.9,9445,1000,Delivery,"Cafe, Burger",No,No,"Fried Rice, Paneer Tikka, Momos",Dine-out,Hebbal
R0075,Ray Group ,https://www.zomato.com/bengaluru/restaurant-75,"70, Electronic City, Bengaluru",Electronic City,12.826162,77.690659,+912199330833,2.4,910,200,Delivery,Thai,Yes,No,"Paneer Tikka, Masala Dosa, Noodles, Idli, Chicken Curry",Dinner,Electronic City
R0076,Kala-Rattan Kitchen,https://www.zomato.com/bengaluru/restaurant-76,"197, Whitefield, Bengaluru",Whitefield,12.975236,77.739024,+911938026206,3.5,8166,250,Fine Dining,"Fast Food, Bakery, Burger",Yes,Yes,"Noodles, Momos, Shake, Pizza, Masala Dosa",Buffet,Whitefield
R0077,Gala Group ,https://www.zomato.com/bengaluru/restaurant-77,"118, Electronic City, Bengaluru",Electronic City,12.841939,77.665219,+914205493296,4.0,7057,1000,Cafe,"Desserts, Street Food",Yes,No,"Pizza, Tandoori, Veg Thali, Pasta, Idli",Delivery,Electronic City
R0078,Ramakrishnan LLC Cafe,https://www.zomato.com/bengaluru/restaurant-78,"85, JP Nagar, Bengaluru",JP Nagar,12.922251,77.582524,+914990453017,3.3,5076,250,Delivery,North Indian,Yes,No,"Ice Cream, Fried Rice, Veg Thali, Pasta",Delivery,JP Nagar
R0079,Mangal-Sampath Bistro,https://www.zomato.com/bengaluru/restaurant-79,"171, Brookefield, Bengaluru",Brookefield,12.970584,77.706751,+913391878519,3.2,1888,150,Dhaba,"Pizza, Rolls, Continental",Yes,No,"Pizza, Veg Thali, Cake, Noodles, Masala Dosa",Dine-out,Brookefield
R0080,Sur Dubey and Gupta Eatery,https://www.zomato.com/bengaluru/restaurant-80,"34, JP Nagar, Bengaluru",JP Nagar,12.902644,77.58381,+918679087406,3.6,4219,150,Fine Dining,Biryani,Yes,No,"Dosa, Tandoori, Veg Thali, Ice Cream, Biryani",Delivery,JP Nagar
R0081,Kalla-Bhardwaj ,https://www.zomato.com/bengaluru/restaurant-81,"187, Indiranagar, Bengaluru",Indiranagar,12.976111,77.646812,+916567661825,3.9,1993,250,Takeaway,"South Indian, Chinese, Burger",No,No,"Momos, Chicken Curry",Dine-out,Indiranagar
R0082,Bhat Murthy and Bhandari Restaurant,https://www.zomato.com/bengaluru/restaurant-82,"118, Bannerghatta Road, Bengaluru",Bannerghatta Road,12.885762,77.605645,+915243106903,4.1,3426,200,Quick Bites,Desserts,Yes,No,"Pasta, Chicken Curry, Ice Cream, Tandoori, Idli",Buffet,Bannerghatta Road
R0083,Sood PLC Bistro,https://www.zomato.com/bengaluru/restaurant-83,"82, Marathahalli, Bengaluru",Marathahalli,12.966316,77.694468,+919953428364,3.9,4558,150,Takeaway,Rolls,Yes,No,"Butter Chicken, Pizza, Momos",Lunch,Marathahalli
R0084,Dugar Bhandari and Trivedi Bistro,https://www.zomato.com/bengaluru/restaurant-84,"122, Domlur, Bengaluru",Domlur,12.960769,77.652869,+913342708668,5.0,8733,250,Delivery,"Mughlai, Sandwich, Seafood",Yes,No,"Chicken Curry, Pizza, Momos, Noodles, Dosa",Desserts,Domlur
R0085,Grewal Inc Kitchen,https://www.zomato.com/bengaluru/restaurant-85,"49, Rajajinagar, Bengaluru",Rajajinagar,12.994601,77.568667,+919837354033,3.4,1972,800,Casual Dining,"Chinese, Biryani",Yes,No,"Paneer Tikka, Ice Cream",Desserts,Rajajinagar
R0086,Bir Keer and Raval Kitchen,https://www.zomato.com/bengaluru/restaurant-86,"185, Domlur, Bengaluru",Domlur,12.955548,77.632192,+917535560932,3.1,315,400,Takeaway,"Rolls, Thai",No,No,"Paneer Tikka, Cake, Masala Dosa, Fried Rice",Dine-out,Domlur
R0087,Koshy PLC Restaurant,https://www.zomato.com/bengaluru/restaurant-87,"36, BTM Layout, Bengaluru",BTM Layout,12.911496,77.606495,+918728080100,4.3,6806,250,Dhaba,Burger,Yes,Yes,"Paneer Tikka, Masala Dosa, Tandoori, Fried Rice",Dine-out,BTM Layout
R0088,Baral Bumb and Saini Bistro,https://www.zomato.com/bengaluru/restaurant-88,"185, Koramangala, Bengaluru",Koramangala,12.926762,77.62318,+914840862118,4.7,2489,300,Casual Dining,Burger,Yes,No,"Biryani, Pasta, Chicken Curry, Tandoori, Veg Thali",Cafes,Koramangala
R0089,Virk Mutti and Lal Kitchen,https://www.zomato.com/bengaluru/restaurant-89,"164, Basavanagudi, Bengaluru",Basavanagudi,12.929971,77.588579,+910217659180,3.2,3814,300,Dhaba,"Pizza, Rolls",No,No,"Dosa, Butter Chicken, Pasta, Noodles",Buffet,Basavanagudi
R0090,Murthy and Sons ,https://www.zomato.com/bengaluru/restaurant-90,"102, HSR Layout, Bengaluru",HSR Layout,12.917133,77.632311,+911429396856,4.3,2342,200,Takeaway,"South Indian, Fast Food, Seafood",Yes,Yes,"Noodles, Pizza",Delivery,HSR Layout
R0091,Randhawa-Deep Restaurant,https://www.zomato.com/bengaluru/restaurant-91,"175, Yelahanka, Bengaluru",Yelahanka,13.092464,77.583581,+919619431142,3.2,6275,250,Fine Dining,"Mughlai, Seafood, North Indian",No,No,"Veg Thali, Masala Dosa, Fried Rice, Burger",Drinks,Yelahanka
R0092,Mital Shankar and Mutti Restaurant,https://www.zomato.com/bengaluru/restaurant-92,"111, Whitefield, Bengaluru",Whitefield,12.957546,77.763189,+917888610158,3.6,1574,1200,Takeaway,"Thai, Cafe",Yes,No,"Pizza, Dosa",Buffet,Whitefield
R0093,Andra Group Eatery,https://www.zomato.com/bengaluru/restaurant-93,"71, Electronic City, Bengaluru",Electronic City,12.837314,77.685375,+916471543799,3.6,3253,800,Quick Bites,"Rolls, Pizza, Fast Food",Yes,No,"Burger, Pizza, Paneer Tikka, Tandoori, Veg Thali",Buffet,Electronic City
R0094,Chaudhry Borah and Yogi Restaurant,https://www.zomato.com/bengaluru/restaurant-94,"123, Basavanagudi, Bengaluru",Basavanagudi,12.937567,77.578406,+915265479356,3.8,4642,600,Cafe,"Street Food, Seafood",Yes,No,"Pizza, Momos, Shake, Tandoori, Cake",Desserts,Basavanagudi
